idVisit,serverTime,timeSpent,actionCategory,actionName,userName,department,team,title,organization,name,country
202350,2016-12-19 17:41:54,38,WebNei clicked,GSM 17 Operability Features,Age of Pirates: Caribbean Tales  ,MN Mobile Networks,MN GS MEA RSO41,EXT-Mbb Ran1 Customer Support Engineer,MN Global Services,Age of Pirates: Caribbean Tales  ,Kenya
202350,2016-12-19 17:42:32,,Webnei downloaded,GSM 17 Operability Features,Age of Pirates: Caribbean Tales  ,MN Mobile Networks,MN GS MEA RSO41,EXT-Mbb Ran1 Customer Support Engineer,MN Global Services,Age of Pirates: Caribbean Tales  ,Kenya
202357,2016-12-19 18:05:09,21,WebNei clicked,Step towards Next Gen Telco: 5G introduction,Age of Sail  ,CO Customer Operations,CO HoS MN LAT,Head of Technology Office,CO HoS MN,Age of Sail  ,Brazil
202357,2016-12-19 18:05:30,73,Webnei downloaded,Step towards Next Gen Telco: 5G introduction,Age of Sail  ,CO Customer Operations,CO HoS MN LAT,Head of Technology Office,CO HoS MN,Age of Sail  ,Brazil
202357,2016-12-19 18:06:43,,Webnei downloaded,Step towards Next Gen Telco: 5G introduction,Age of Sail  ,CO Customer Operations,CO HoS MN LAT,Head of Technology Office,CO HoS MN,Age of Sail  ,Brazil
202357,2016-12-19 18:06:43,1,Webnei downloaded,Step towards Next Gen Telco: 5G introduction,Age of Sail  ,CO Customer Operations,CO HoS MN LAT,Head of Technology Office,CO HoS MN,Age of Sail  ,Brazil
202357,2016-12-19 18:06:44,53,Webnei downloaded,Step towards Next Gen Telco: 5G introduction,Age of Sail  ,CO Customer Operations,CO HoS MN LAT,Head of Technology Office,CO HoS MN,Age of Sail  ,Brazil
202357,2016-12-19 18:07:37,2,WebNei clicked,Step towards Next Gen Telco: 5G introduction,Age of Sail  ,CO Customer Operations,CO HoS MN LAT,Head of Technology Office,CO HoS MN,Age of Sail  ,Brazil
202357,2016-12-19 18:07:39,200,Webnei downloaded,Step towards Next Gen Telco: 5G introduction,Age of Sail  ,CO Customer Operations,CO HoS MN LAT,Head of Technology Office,CO HoS MN,Age of Sail  ,Brazil
202357,2016-12-19 18:11:04,141,WebNei clicked,IoT - Internet of Things - Introduction,Age of Sail  ,CO Customer Operations,CO HoS MN LAT,Head of Technology Office,CO HoS MN,Age of Sail  ,Brazil
202357,2016-12-19 18:13:25,195,Webnei downloaded,IoT - Internet of Things - Introduction,Age of Sail  ,CO Customer Operations,CO HoS MN LAT,Head of Technology Office,CO HoS MN,Age of Sail  ,Brazil
202357,2016-12-19 18:16:40,14,WebNei clicked,LTE3071,Age of Sail  ,CO Customer Operations,CO HoS MN LAT,Head of Technology Office,CO HoS MN,Age of Sail  ,Brazil
202357,2016-12-19 18:16:54,481,Webnei downloaded,LTE3071 NB-IoT Part 1 LTE3071,Age of Sail  ,CO Customer Operations,CO HoS MN LAT,Head of Technology Office,CO HoS MN,Age of Sail  ,Brazil
202357,2016-12-19 18:24:55,42,WebNei clicked,AirScale System Module in FDD LTE (FL16A),Age of Sail  ,CO Customer Operations,CO HoS MN LAT,Head of Technology Office,CO HoS MN,Age of Sail  ,Brazil
202357,2016-12-19 18:25:37,7,Webnei downloaded,AirScale System Module in FDD LTE (FL16A),Age of Sail  ,CO Customer Operations,CO HoS MN LAT,Head of Technology Office,CO HoS MN,Age of Sail  ,Brazil
